t_id	chr	strand	start	end	t_name	num_exons	length	gene_id	nomatch	cov	FPKM

1	3R	-	722370	722621	FBtr0114258	1	252	FBgn0085804	nomatch	0.000000	0.000000

2	3R	+	835381	2503907	FBtr0346770	20	6213	FBgn0267431	nomatch	0.000000	0.000000

3	3R	+	1031171	1031354	FBtr0302440	1	184	FBgn0039987	nomatch	0.000000	0.000000

4	3R	-	2156916	2157206	FBtr0302347	1	291	FBgn0058182	nomatch	16.388315	23.712564

5	3R	-	2554124	3263573	FBtr0346769	19	6420	FBgn0267430	nomatch	0.000000	0.000000

6	3R	-	2744304	2744800	FBtr0345282	2	438	FBgn0266747	nomatch	0.000000	0.000000

7	3R	-	2744305	2744800	FBtr0345281	1	496	FBgn0266747	nomatch	0.000000	0.000000

8	3R	+	3322810	3354486	FBtr0300207	2	1767	FBgn0086917	nomatch	0.000000	0.000000

9	3R	-	3461351	3587054	FBtr0113885	6	3112	FBgn0010247	P35875	7.600407	10.997173

10	3R	+	3623143	3627690	FBtr0301810	3	1290	FBgn0086378	nomatch	13.178294	19.067924

11	3R	+	3734855	3745306	FBtr0113895	3	961	FBgn0263977	nomatch	4.364941	6.315716

12	3R	+	3734929	3745306	FBtr0345179	3	887	FBgn0263977	nomatch	82.468964	119.325905

13	3R	+	3750363	3752353	FBtr0301812	2	364	FBgn0069923	nomatch	4.437705	6.421000

14	3R	+	3846729	3867684	FBtr0113990	7	3594	FBgn0039955	nomatch	18.611586	26.929455

15	3R	+	3846729	3867684	FBtr0113991	8	3669	FBgn0039955	nomatch	0.000000	0.000000

16	3R	+	3846729	3867980	FBtr0344573	7	3869	FBgn0039955	nomatch	0.000000	0.000000

17	3R	+	3846729	3868401	FBtr0113989	7	4294	FBgn0039955	nomatch	6.050711	8.754889

18	3R	+	4077939	4104326	FBtr0336454	12	4915	FBgn0259821	nomatch	0.000000	0.000000

19	3R	+	4077939	4104326	FBtr0339974	11	4654	FBgn0259821	nomatch	0.000000	0.000000

20	3R	+	4084036	4104326	FBtr0301942	11	4016	FBgn0259821	nomatch	0.000000	0.000000

21	3R	+	4126442	4137882	FBtr0113694	8	2601	FBgn0027341	nomatch	0.000000	0.000000

22	3R	+	4126442	4137882	FBtr0302850	9	2628	FBgn0027341	nomatch	0.000000	0.000000

23	3R	+	4130521	4137882	FBtr0113687	9	2426	FBgn0027341	nomatch	0.000000	0.000000

24	3R	+	4130521	4137882	FBtr0113690	9	2290	FBgn0027341	nomatch	0.000000	0.000000

25	3R	+	4130521	4137882	FBtr0113692	8	2363	FBgn0027341	nomatch	0.000000	0.000000

26	3R	+	4130521	4137882	FBtr0302846	10	2538	FBgn0027341	nomatch	0.000000	0.000000

27	3R	+	4130521	4137882	FBtr0302847	5	3726	FBgn0027341	nomatch	0.000000	0.000000

28	3R	+	4130521	4137882	FBtr0302848	9	2390	FBgn0027341	nomatch	0.000000	0.000000

29	3R	+	4130521	4137882	FBtr0302849	7	2339	FBgn0027341	nomatch	0.000000	0.000000

30	3R	-	4137894	4138652	FBtr0114267	3	614	FBgn0085812	nomatch	0.000000	0.000000

31	3R	-	4160610	4162235	FBtr0333189	2	1567	FBgn0058198	nomatch	0.000000	0.000000

32	3R	-	4161508	4162235	FBtr0301809	2	669	FBgn0058198	nomatch	0.000000	0.000000

33	3R	+	4174632	4184473	FBtr0078962	3	3183	FBgn0037213	nomatch	0.000000	0.000000

34	3R	+	4174632	4186751	FBtr0078961	4	5393	FBgn0037213	nomatch	0.000000	0.000000

35	3R	+	4186963	4196210	FBtr0308946	6	1923	FBgn0053294	nomatch	0.000000	0.000000

36	3R	-	4189692	4190260	FBtr0078989	1	569	FBgn0000500	P09040	0.000000	0.000000

37	3R	+	4191285	4196210	FBtr0308945	5	2046	FBgn0053294	nomatch	0.000000	0.000000

38	3R	+	4197206	4204572	FBtr0078964	9	3035	FBgn0037215	nomatch	7.556983	10.934341

39	3R	+	4197206	4204572	FBtr0306022	10	2922	FBgn0037215	nomatch	3.162103	4.575307

40	3R	+	4197206	4204572	FBtr0336703	9	3073	FBgn0037215	nomatch	0.000000	0.000000

41	3R	+	4197206	4204572	FBtr0336704	9	3029	FBgn0037215	nomatch	0.311090	0.450122

42	3R	+	4197308	4204565	FBtr0336702	8	3100	FBgn0037215	nomatch	3.247720	4.699188

43	3R	-	4204493	4215314	FBtr0078988	2	1462	FBgn0037217	nomatch	0.000000	0.000000

44	3R	-	4204493	4215314	FBtr0111206	2	1485	FBgn0037217	nomatch	0.000000	0.000000

45	3R	+	4211783	4227518	FBtr0078965	13	4410	FBgn0037218	nomatch	0.000000	0.000000

46	3R	-	4218463	4220130	FBtr0078987	1	1668	FBgn0051516	nomatch	0.000000	0.000000

47	3R	+	4220986	4227518	FBtr0078966	9	4312	FBgn0037218	nomatch	42.903259	62.077541

48	3R	+	4220986	4227518	FBtr0336705	9	4276	FBgn0037218	nomatch	0.978177	1.415343

49	3R	+	4220986	4227518	FBtr0336706	9	4288	FBgn0037218	nomatch	3.219699	4.658643

