#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
3301	U00096.2	+	4639675	283557	283591	NODE_1542_length_20_cov_11.100000	-	34	0	34	34/34	100.0%	34/34	100.0%
3329	U00096.2	+	4639675	279783	279818	NODE_2280_length_21_cov_17.857143	-	35	0	35	35/35	100.0%	35/35	100.0%
4697	U00096.2	+	4639675	298080	298131	NODE_3041_length_38_cov_3.026316	-	52	1	52	50/51	98.0%	51/52	98.1%
8703	U00096.2	+	4639675	297485	297575	NODE_3079_length_76_cov_2.013158	-	90	0	90	90/90	100.0%	90/90	100.0%
4338	U00096.2	+	4639675	297432	297477	NODE_3083_length_31_cov_2.032258	-	45	0	45	45/45	100.0%	45/45	100.0%
3256	U00096.2	+	4639675	297378	297412	NODE_3087_length_20_cov_3.050000	-	34	0	34	34/34	100.0%	34/34	100.0%
4008	U00096.2	+	4639675	297278	297335	NODE_3096_length_44_cov_1.000000	-	58	0	58	51/57	89.5%	58/58	100.0%
4411	U00096.2	+	4639675	297235	297281	NODE_3098_length_32_cov_2.031250	-	46	0	46	46/46	100.0%	46/46	100.0%
5554	U00096.2	+	4639675	296983	297045	NODE_3118_length_49_cov_3.020408	-	63	0	63	62/62	100.0%	63/63	100.0%
3342	U00096.2	+	4639675	296772	296809	NODE_3134_length_23_cov_2.000000	-	37	0	37	36/37	97.3%	37/37	100.0%
3966	U00096.2	+	4639675	296715	296757	NODE_3140_length_28_cov_2.035714	-	42	0	42	42/42	100.0%	42/42	100.0%
3420	U00096.2	+	4639675	296688	296724	NODE_3142_length_22_cov_2.954545	-	36	0	36	36/36	100.0%	36/36	100.0%
3429	U00096.2	+	4639675	296563	296599	NODE_3159_length_22_cov_4.090909	-	36	0	36	36/36	100.0%	36/36	100.0%
3982	U00096.2	+	4639675	296317	296365	NODE_3182_length_33_cov_3.060606	-	47	0	47	47/47	100.0%	47/47	100.0%
4018	U00096.2	+	4639675	296165	296213	NODE_3198_length_33_cov_2.000000	-	47	0	47	47/47	100.0%	47/47	100.0%
3556	U00096.2	+	4639675	295727	295764	NODE_3239_length_23_cov_3.043478	-	37	0	37	37/37	100.0%	37/37	100.0%
3438	U00096.2	+	4639675	295689	295725	NODE_3242_length_22_cov_5.045455	-	36	0	36	36/36	100.0%	36/36	100.0%
3293	U00096.2	+	4639675	294724	294759	NODE_3369_length_21_cov_7.095238	-	35	0	35	35/35	100.0%	35/35	100.0%
3629	U00096.2	+	4639675	294679	294717	NODE_3372_length_24_cov_7.958333	-	38	0	38	38/38	100.0%	38/38	100.0%
3475	U00096.2	+	4639675	293852	293889	NODE_3483_length_23_cov_10.086957	-	37	0	37	37/37	100.0%	37/37	100.0%
3056	U00096.2	+	4639675	279483	279515	NODE_4127_length_18_cov_15.833333	+	32	0	32	32/32	100.0%	32/32	100.0%
3511	U00096.2	+	4639675	250635	250683	NODE_6879_length_34_cov_1.000000	+	48	0	48	42/48	87.5%	48/48	100.0%
3217	U00096.2	+	4639675	254732	254778	NODE_7201_length_33_cov_1.000000	+	47	0	46	40/46	87.0%	46/47	97.9%
3647	U00096.2	+	4639675	3578024	3578062	NODE_16459_length_24_cov_6.125000	-	38	0	38	38/38	100.0%	38/38	100.0%
3365	U00096.2	+	4639675	3577327	3577362	NODE_16564_length_21_cov_8.333333	-	35	0	35	35/35	100.0%	35/35	100.0%
3720	U00096.2	+	4639675	3577067	3577106	NODE_16585_length_25_cov_6.000000	-	39	0	39	39/39	100.0%	39/39	100.0%
3575	U00096.2	+	4639675	1970282	1970320	NODE_17023_length_24_cov_10.208333	-	38	0	38	38/38	100.0%	38/38	100.0%
3607	U00096.2	+	4639675	1970215	1970269	NODE_17031_length_40_cov_1.000000	-	54	0	54	46/54	85.2%	54/54	100.0%
3556	U00096.2	+	4639675	1966828	1966865	NODE_17319_length_23_cov_4.956522	-	37	0	37	37/37	100.0%	37/37	100.0%
3647	U00096.2	+	4639675	1966619	1966657	NODE_17336_length_25_cov_1.000000	-	39	0	38	38/38	100.0%	38/39	97.4%
3544	U00096.2	+	4639675	1966402	1966443	NODE_17353_length_27_cov_1.000000	-	41	0	41	39/41	95.1%	41/41	100.0%
3890	U00096.2	+	4639675	1966252	1966302	NODE_17362_length_33_cov_1.000000	-	47	0	47	46/47	97.9%	47/47	100.0%
3429	U00096.2	+	4639675	1965895	1965931	NODE_17394_length_22_cov_3.045455	-	36	0	36	36/36	100.0%	36/36	100.0%
3763	U00096.2	+	4639675	1965579	1965626	NODE_17419_length_33_cov_1.000000	-	47	0	47	43/47	91.5%	47/47	100.0%
3483	U00096.2	+	4639675	1965554	1965590	NODE_17421_length_22_cov_1.000000	-	36	0	36	36/36	100.0%	36/36	100.0%
6170	U00096.2	+	4639675	1965377	1965460	NODE_17433_length_69_cov_1.000000	-	83	0	83	80/81	98.8%	83/83	100.0%
3256	U00096.2	+	4639675	2302353	2302387	NODE_18046_length_20_cov_2.000000	-	34	0	34	34/34	100.0%	34/34	100.0%
3347	U00096.2	+	4639675	2302118	2302153	NODE_18058_length_21_cov_2.047619	-	35	0	35	35/35	100.0%	35/35	100.0%
3504	U00096.2	+	4639675	2301548	2301588	NODE_18082_length_27_cov_1.000000	-	41	1	41	38/40	95.0%	40/41	97.6%
3384	U00096.2	+	4639675	2301291	2301330	NODE_18093_length_25_cov_2.120000	-	39	0	39	37/39	94.9%	39/39	100.0%
3174	U00096.2	+	4639675	2301191	2301224	NODE_18097_length_19_cov_2.000000	-	33	0	33	33/33	100.0%	33/33	100.0%
4515	U00096.2	+	4639675	2301071	2301123	NODE_18100_length_43_cov_3.023256	-	57	0	54	52/52	100.0%	54/57	94.7%
3776	U00096.2	+	4639675	2300627	2300669	NODE_18119_length_28_cov_2.000000	-	42	0	42	40/42	95.2%	42/42	100.0%
3838	U00096.2	+	4639675	2300389	2300429	NODE_18127_length_26_cov_1.000000	-	40	0	40	40/40	100.0%	40/40	100.0%
3729	U00096.2	+	4639675	2300326	2300365	NODE_18131_length_25_cov_1.000000	-	39	0	39	39/39	100.0%	39/39	100.0%
3474	U00096.2	+	4639675	2300248	2300284	NODE_18135_length_22_cov_1.000000	-	36	0	36	36/36	100.0%	36/36	100.0%
5929	U00096.2	+	4639675	2300117	2300211	NODE_18139_length_82_cov_1.000000	-	96	0	96	86/92	93.5%	96/96	100.0%
